Total population female,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Timor-Leste,213999,216102,218551,221294,224288,227500,230909,234504,238281,242245,246400,250747,255275,259960,264774,269699,274492,279122,284009,289740,296600,305186,315047,324184,329883,330400,324702,313908,301065,290462,285144,286281,292846,303014,313949,323599,331249,337558,343444,350365,359240,370745,384172,397444,407692,413078,412526,407238,400430,396618,398993,408778,424840,445135,466520,486705,505106,522441,539263,556550,575006,594685,615238,636501,658219,680200,702387,724835,747598,770771,794410,818520,843036,867863,892872,917967,943116,968323,993571,1018851,1044159,1069484,1094834,1120251,1145798,1171524,1197440,1223551,1249893,1276509,1303428,1330656,1358183,1385986,1414033,1442292,1470733,1499327,1528046,1556866,1585764
Togo,673991,693110,705049,713563,721462,730608,741872,755175,769635,783791,796311,806728,816097,827273,844119,869180,903787,946525,993812,1040529,1082984,1120195,1153311,1183402,1212337,1241664,1271238,1301009,1332783,1368835,1410701,1459103,1513378,1571919,1632346,1692809,1753325,1814149,1874009,1931401,1985525,2035185,2081285,2127696,2179743,2241064,2313315,2394870,2482050,2569470,2653231,2732133,2807369,2880331,2953338,3028088,3104794,3182823,3262055,3342195,3423009,3504528,3586823,3669726,3753022,3836534,3920185,4003953,4087791,4171669,4255558,4339404,4423169,4506859,4590497,4674094,4757629,4841063,4924359,5007474,5090370,5173008,5255358,5337399,5419111,5500468,5581432,5661951,5741960,5821386,5900158,5978218,6055515,6132002,6207632,6282352,6356104,6428823,6500435,6570860,6640011
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,23231,24346,25265,26092,26911,27782,28740,29796,30943,32155,33403,34670,35962,37311,38765,40339,42084,43945,45707,47084,47885,48002,47533,46746,46028,45653,45730,46163,46779,47306,47555,47473,47144,46685,46273,46032,45996,46120,46362,46649,46927,47192,47459,47711,47928,48100,48212,48271,48316,48400,48561,48812,49137,49507,49882,50230,50549,50845,51106,51316,51471,51558,51587,51601,51658,51798,52039,52367,52753,53154,53536,53892,54231,54560,54891,55233,55585,55942,56303,56665,57026,57386,57742,58090,58426,58745,59045,59326,59585,59819,60026,60206,60359,60485,60586,60663,60718,60753,60769,60768,60753
Trinidad and Tobago,319000,325025,331686,339704,349463,361001,373999,387793,401445,413840,424002,431428,436378,440002,443985,449504,457038,466104,475763,484621,491715,496761,500223,502793,505489,509076,513660,519062,525403,532763,541132,550683,561271,572168,582391,591246,598418,604121,608832,613291,618031,623191,628582,634023,639215,643947,648196,652061,655598,658901,662043,665034,667877,670639,673401,676221,679126,682105,685134,688167,691165,694120,697028,699859,702576,705148,707561,709803,711849,713675,715261,716594,717673,718508,719122,719528,719732,719731,719521,719099,718463,717614,716560,715317,713905,712341,710631,708775,706772,704617,702308,699843,697225,694454,691533,688461,685236,681853,678304,674581,670670
Tunisia,1770808,1820892,1859044,1889980,1917401,1943999,1971405,2000240,2030244,2060501,2090100,2118849,2147891,2179976,2218702,2266300,2324793,2392653,2464258,2531748,2589800,2635934,2672732,2706105,2744614,2794369,2857263,2931171,3013287,3099150,3185410,3271165,3357185,3443696,3531368,3620510,3710904,3801641,3891539,3979113,4063209,4143442,4219785,4291927,4359654,4422907,4481585,4535926,4586697,4634941,4681554,4726780,4770856,4814661,4859214,4905255,4953205,5002988,5054191,5106117,5158217,5210393,5262713,5314964,5366918,5418380,5469157,5519138,5568312,5616720,5664347,5711154,5756956,5801424,5844142,5884803,5923282,5959608,5993835,6026085,6056467,6084978,6111630,6136568,6159982,6182023,6202747,6222174,6240367,6257383,6273262,6288018,6301644,6314114,6325388,6335417,6344141,6351493,6357398,6361772,6364526
Turkey,10762000,11058400,11352221,11648203,11949763,12259000,12576622,12902017,13233469,13568511,13905000,14242260,14582076,14929131,15289783,15668502,16067463,16485201,16918087,17360629,17808958,18260733,18717325,19182885,19663470,20162729,20682120,21218037,21762862,22306167,22840214,23362780,23875327,24378444,24873988,25363772,25847007,26324100,26799699,27279945,27769270,28268792,28777326,29293994,29817025,30344563,30877133,31413729,31949020,32476088,32990035,33488333,33972276,34445536,34913806,35381192,35848593,36314498,36777724,37236294,37688711,38134696,38574621,39008378,39435960,39857301,40272168,40680256,41081356,41475253,41861725,42240644,42611785,42974729,43328979,43674165,44009982,44336412,44653725,44962365,45262606,45554437,45837565,46111635,46376169,46630769,46875244,47109495,47333325,47546542,47748972,47940449,48120823,48289954,48447714,48593985,48728659,48851638,48962833,49062166,49149569
Turkmenistan,617390,626489,639018,654346,671961,691471,712607,735221,759264,784765,811748,840144,869715,900026,930531,960848,990740,1020301,1049891,1080060,1111196,1143410,1176543,1210393,1244649,1279087,1313701,1348585,1383735,1419169,1454930,1491041,1527596,1564804,1602932,1642207,1682335,1723294,1765859,1811056,1859400,1911531,1966637,2022011,2073984,2120016,2158973,2191844,2220831,2249221,2279418,2312095,2346573,2382293,2418233,2453648,2488477,2523054,2557473,2591901,2626441,2661066,2695657,2730107,2764282,2798053,2831375,2864182,2896303,2927537,2957732,2986825,3014815,3041690,3067468,3092174,3115787,3138337,3159979,3180916,3201304,3221198,3240585,3259465,3277817,3295617,3312871,3329581,3345713,3361221,3376060,3390197,3403602,3416249,3428110,3439147,3449315,3458559,3466813,3474001,3480039
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,2585722,2661630,2736467,2811072,2886365,2963343,3043099,3126803,3215668,3310874,3413371,3523660,3641602,3766337,3896517,4030981,4169917,4313191,4458939,4604799,4749254,4891528,5032551,5174673,5321243,5474813,5636787,5807015,5984688,6168315,6357188,6550571,6749991,6959651,7185138,7430186,7696464,7982070,8282697,8592107,8905598,9222445,9543566,9867958,10194836,10524043,10854876,11188408,11528582,11880729,12248918,12634745,13037944,13458426,13895429,14348431,14817704,15303860,15807008,16327209,16864413,17418438,17988974,18575619,19177875,19795173,20427126,21073104,21731971,22402366,23083129,23773518,24473063,25181207,25897479,26621405,27352407,28089934,28833592,29583048,30337935,31097744,31861974,32630286,33402376,34177867,34956237,35736878,36519197,37302565,38086318,38869767,39652189,40432834,41210913,41985602,42756041,43521330,44280532,45032673,45776740
Ukraine,21288868,21539104,21797090,22058146,22318745,22576519,22830312,23080126,23326941,23572432,23818091,24064300,24309516,24549927,24780433,24997555,25198740,25385276,25562151,25736597,25913354,26095009,26278661,26456976,26619622,26759495,26873847,26965890,27041783,27110602,27179033,27247840,27315077,27381330,27446685,27510476,27572791,27631643,27681482,27715036,27726411,27715795,27682885,27621087,27522420,27382551,27198247,26974823,26727304,26476290,26237254,26015789,25809869,25617947,25435666,25259745,25090932,24931010,24778594,24631770,24488936,24349378,24212734,24078141,23944737,23811735,23678603,23544784,23409484,23271875,23131341,22987506,22840336,22690038,22537037,22381719,22224199,22064589,21903310,21740872,21577753,21414172,21250412,21087084,20924895,20764388,20605820,20449233,20294657,20142024,19991237,19842204,19694822,19548961,19404435,19260982,19118257,18975824,18833160,18689649,18544590
United Arab Emirates,34320,34246,35094,36373,37729,38945,39946,40796,41673,42847,44578,47020,50134,53650,57171,60490,63564,66734,70649,76178,84003,94280,107007,122495,141054,162851,187926,216077,246877,279734,314097,349965,387108,424479,460769,495094,527008,556877,585672,614825,645433,677744,711613,747269,784885,824562,866393,910346,956203,1003636,1052335,1102122,1152823,1204105,1255589,1306910,1357963,1408507,1457897,1505354,1550343,1592579,1632223,1669757,1705918,1741282,1776006,1810045,1843543,1876622,1909390,1941970,1974469,2006951,2039460,2072038,2104725,2137570,2170623,2203930,2237517,2271396,2305538,2339878,2374321,2408783,2443222,2477600,2511834,2545828,2579501,2612788,2645641,2678022,2709896,2741223,2771958,2802049,2831434,2860047,2887812
United Kingdom,26041000,26110618,26190874,26278992,26373254,26473000,26578699,26691880,26814899,26950562,27100990,27266401,27444052,27627785,27809311,27982008,28144075,28295108,28431695,28550335,28648800,28725668,28781940,28821120,28848365,28868008,28881424,28889384,28895002,28901747,28912441,28928493,28950684,28980261,29018245,29065199,29121893,29187984,29261393,29339150,29418899,29500459,29583930,29667640,29749652,29828846,29904276,29976943,30050152,30128504,30215410,30311616,30416388,30529779,30651422,30780749,30918204,31063210,31212845,31363239,31511555,31656457,31798441,31938766,32079568,32222350,32367176,32513228,32660079,32807076,32953649,33099603,33244771,33388622,33530536,33669992,33806807,33940814,34071554,34198524,34321410,34440015,34554518,34665484,34773723,34879887,34984184,35086648,35187556,35287179,35385736,35483384,35580217,35676285,35771602,35866163,35959947,36052920,36145036,36236236,36326448
Tanzania,3918350,4017951,4123071,4233288,4348307,4467960,4592212,4721156,4854994,4994019,5138533,5288771,5444831,5606640,5774044,5947056,6125505,6309803,6501241,6701512,6911764,7132751,7364022,7604051,7850621,8102211,8358375,8619874,8887876,9164092,9449832,9745993,10052528,10368747,10693502,11026296,11365272,11711420,12070326,12449556,12853638,13286240,13743394,14212716,14677095,15124678,15551362,15962143,16365575,16774537,17198997,17641345,18100511,18578942,19078657,19601182,20147613,20718464,21313616,21932412,22573852,23238069,23923824,24626926,25341927,26064616,26793161,27527510,28267464,29013491,29765903,30524050,31287278,32056008,32830961,33612641,34400971,35195641,35996643,36803946,37617440,38436922,39262075,40092497,40927703,41767187,42610556,43457325,44306763,45158036,46010383,46863180,47715917,48568147,49419431,50269285,51117161,51962436,52804414,53642319,54475307
United States,78982614,80257199,81638814,83104328,84632240,86202672,87797364,89399680,90994641,92568971,94111241,95612027,97064043,98462198,99803437,101086249,102309828,103475294,104586718,105650223,106672988,107654653,108602022,109538270,110492975,111487387,112535982,113635184,114766112,115899644,117016770,118110354,119193750,120292946,121444207,122673230,123989000,125382672,126840118,128339206,129863114,131403983,132964128,134548301,136165106,137817975,139510027,141230204,142950898,144635691,146259071,147808427,149291892,150730435,152155915,153591410,155042893,156502665,157963822,159414683,160846685,162258202,163652317,165030528,166395541,167748989,169091028,170419730,171732175,173024477,174293751,175538742,176759841,177957854,179134313,180290313,181425908,182540507,183633850,184705545,185755331,186782931,187788471,188772561,189736059,190679471,191603580,192507988,193390640,194248698,195080411,195885747,196666169,197424117,198162404,198883658,199590136,200283611,200965336,201636078,202296124
Virgin Islands (U.S.),13654,13839,14139,14440,14672,14815,14894,14983,15190,15651,16482,17741,19384,21256,23129,24845,26326,27631,28903,30352,32120,34252,36661,39198,41652,43864,45785,47443,48860,50083,51148,52066,52824,53405,53790,53973,53938,53722,53442,53256,53270,53539,54027,54640,55238,55717,56049,56267,56409,56536,56690,56880,57087,57292,57466,57590,57659,57680,57662,57617,57554,57475,57378,57264,57134,56987,56825,56647,56453,56241,56011,55762,55493,55202,54888,54547,54180,53786,53366,52920,52450,51955,51436,50894,50331,49749,49149,48531,47898,47250,46589,45916,45234,44542,43842,43136,42425,41710,40994,40276,39560
Uruguay,1106221,1118832,1132509,1147218,1162891,1179419,1196652,1214402,1232449,1250551,1268474,1286027,1303090,1319627,1335650,1351117,1366206,1380768,1394060,1405106,1413331,1418306,1420570,1421697,1423865,1428624,1436584,1447272,1459836,1472922,1485537,1497479,1509054,1520370,1531664,1543111,1554651,1566178,1577768,1589530,1601521,1613678,1625901,1638150,1650378,1662489,1674629,1686641,1697767,1707010,1713733,1717570,1718926,1718891,1719006,1720393,1723442,1727868,1733290,1739050,1744665,1750065,1755428,1760806,1766305,1771988,1777850,1783809,1789764,1795583,1801165,1806467,1811497,1816273,1820833,1825208,1829388,1833358,1837126,1840708,1844113,1847343,1850390,1853236,1855859,1858240,1860373,1862258,1863888,1865257,1866360,1867196,1867763,1868064,1868100,1867876,1867395,1866663,1865687,1864472,1863026
Uzbekistan,3257320,3342221,3436986,3539353,3647741,3761251,3879707,4003616,4134048,4272448,4420050,4577259,4743104,4915011,5089454,5263905,5437135,5609789,5783492,5960786,6143411,6332018,6525671,6722650,6920497,7117542,7313083,7507954,7703886,7903381,8108237,8318866,8534641,8755035,8979146,9206200,9435385,9666441,9899690,10135718,10374470,10616309,10859599,11099868,11331271,11549646,11753322,11943445,12122232,12293263,12459364,12621353,12779042,12933156,13084320,13233254,13380351,13526541,13673672,13823961,13978986,14139342,14304660,14474267,14647000,14821773,14998341,15176275,15354002,15529586,15701460,15868830,16031386,16188667,16340376,16486254,16626021,16759402,16886216,17006343,17119780,17226442,17326543,17420780,17510091,17595233,17676443,17753789,17827638,17898354,17966188,18031243,18093483,18152767,18208884,18261584,18310593,18355616,18396341,18432438,18463555
Vanuatu,22777,23301,23989,24775,25608,26456,27302,28149,29011,29916,30888,31936,33044,34165,35232,36204,37057,37818,38561,39390,40378,41550,42883,44336,45851,47381,48920,50479,52049,53624,55199,56770,58339,59922,61539,63207,64920,66677,68503,70434,72488,74696,77035,79407,81678,83759,85602,87259,88859,90587,92576,94870,97425,100177,103024,105889,108756,111645,114557,117500,120480,123491,126523,129572,132633,135703,138779,141858,144940,148024,151108,154192,157273,160352,163428,166500,169567,172628,175683,178732,181774,184808,187832,190844,193842,196822,199783,202723,205638,208525,211381,214203,216988,219736,222445,225112,227736,230315,232845,235325,237751
Venezuela,2514395,2611128,2715967,2827056,2942990,3062809,3186026,3312602,3442882,3577497,3717051,3861787,4011303,4164423,4319551,4475706,4632373,4790363,4951664,5119033,5294501,5478257,5669760,5869345,6077228,6293216,6517993,6750671,6987543,7223667,7455587,7681401,7902209,8121236,8343317,8571808,8807727,9049490,9294715,9539883,9782418,10021620,10258210,10492756,10726315,10959687,11192889,11425662,11658243,11890899,12123832,12357083,12590645,12824591,13058980,13293799,13529029,13764489,13999785,14234405,14467914,14700089,14930793,15159776,15386794,15611621,15834066,16053961,16271151,16485496,16696871,16905120,17110132,17311883,17510394,17705646,17897566,18086019,18270857,18451906,18629015,18802072,18970997,19135707,19296131,19452192,19603889,19751144,19893715,20031301,20163715,20290947,20413140,20530542,20643448,20752152,20856926,20958011,21055612,21149905,21241032
Vietnam,13756896,13979871,14227460,14496673,14785284,15091833,15415667,15756900,16116274,16494940,16893784,17312712,17750027,18202157,18664417,19133243,19608540,20090801,20578018,21067970,21559915,22050407,22541708,23045620,23578164,24149832,24766937,25423581,26103135,26781979,27443552,28079801,28696734,29308752,29937292,30596847,31291258,32012224,32747288,33478497,34192118,34885141,35559322,36211557,36839475,37441976,38015927,38562357,39089722,39609872,40131276,40657690,41186617,41712706,42227641,42725691,43205361,43669661,44122745,44570657,45017825,45465529,45912587,46357975,46799792,47236590,47667893,48094058,48515343,48932228,49344772,49752867,50155425,50550311,50934777,51306673,51665035,52009744,52340563,52657565,52960773,53249823,53524359,53784492,54030473,54262491,54480531,54684509,54874487,55050547,55212755,55361161,55495796,55616682,55723841,55817304,55897111,55963317,56015989,56055207,56081064
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",2136800,2173921,2213412,2254811,2297783,2342121,2387752,2434730,2483217,2533454,2585665,2639956,2696232,2754151,2813241,2873205,2934399,2997169,3061260,3126318,3192394,3259346,3328205,3401646,3483163,3575351,3679346,3794820,3921070,4056733,4200795,4354010,4516961,4688301,4866203,5049787,5236610,5427949,5630989,5855529,6107650,6391050,6701004,7024851,7344972,7648773,7931750,8197819,8453176,8707749,8969023,9238318,9513845,9796403,10086303,10383790,10689632,11004300,11327230,11657434,11994122,12336970,12685997,13041100,13402238,13769207,14141771,14519293,14900666,15284523,15669749,16055775,16442359,16829125,17215800,17602143,17987805,18372537,18756359,19139406,19521753,19903231,20283648,20663035,21041462,21418918,21795225,22170107,22543313,22914546,23283471,23649718,24012879,24372508,24728120,25079186,25425137,25765360,26099198,26425955,26744888
Zambia,1175190,1203931,1234346,1266284,1299655,1334427,1370630,1408354,1447738,1488960,1532192,1577556,1625085,1674707,1726292,1779791,1835135,1892496,1952352,2015336,2081879,2152218,2226182,2303295,2382859,2464376,2547662,2632894,2720360,2810505,2903638,2999783,3098775,3200498,3304776,3411443,3520590,3632166,3745708,3860608,3976492,4092782,4209684,4328522,4451151,4578709,4712158,4850610,4991129,5129648,5263436,5391332,5514765,5636783,5761789,5893026,6031539,6176575,6327414,6482672,6641353,6803211,6968700,7138284,7312644,7492126,7676866,7866245,8058924,8253111,8447454,8641388,8835035,9028587,9222514,9417148,9612406,9808036,10004026,10200373,10397069,10594087,10791400,10989001,11186886,11385042,11583442,11782046,11980810,12179687,12378627,12577579,12776494,12975319,13174000,13372477,13570685,13768553,13966006,14162961,14359331
