SIN(s) PROPOSED,SERVICE PROPOSED (e.g. Job Title/Task),MINIMUM EDUCATION/ CERTIFICATION LEVEL,MINIMUM YEARS OF EXPERIENCE,"UNIT OF ISSUE (e.g. Hour, Task, Sq ft)",PRICE OFFERED TO GSA (including IFF),CONTRACT NUMBER,VENDOR NAME,BUSINESS SIZE,SCHEDULE,WORKSITE,CURRENT CONTRACT YEAR,CONTRACT START DATE ,CONTRACT END DATE
132-51,Systems Architect 1,Bachelors,1,Hour,$85.48,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Systems Architect 2,Bachelors,3,Hour,$90.94,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Systems Architect 3,Bachelors,5,Hour,$96.41,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Portal Architect 1,Bachelors,1,Hour,$113.37,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Portal Architect 2,Bachelors,3,Hour,$128.83,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Portal Architect 3,Bachelors,5,Hour,$154.60,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Systems Administrator 1,Bachelors,1,Hour,$85.48,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Systems Administrator 2,Bachelors,3,Hour,$90.94,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Systems Administrator 3,Bachelors,5,Hour,$96.41,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Database Administrator 1,Bachelors,1,Hour,$86.15,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Database Administrator 2,Bachelors,3,Hour,$91.54,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Database Administrator 3,Bachelors,6,Hour,$96.91,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Business Intelligence 1,Bachelors,1,Hour,$103.08,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Business Intelligence 2,Bachelors,3,Hour,$128.83,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Business Intelligence 3,Bachelors,6,Hour,$154.60,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Database Architect 1,Bachelors,1,Hour,$84.22,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Database Architect 2,Bachelors,3,Hour,$94.12,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Database Architect 3,Bachelors,6,Hour,$104.02,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Technical Writer 1,Bachelors,1,Hour,$59.47,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Technical Writer 2,Bachelors,3,Hour,$64.04,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Technical Writer 3,Bachelors,5,Hour,$68.62,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Testing Technician 1,Bachelors,1,Hour,$59.47,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Testing Technician 2,Bachelors,3,Hour,$64.04,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Testing Technician 3,Bachelors,5,Hour,$68.62,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Technician 1,Associates,1,Hour,$59.47,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Technician 2,Associates,3,Hour,$64.04,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Technician 3,Associates,6,Hour,$68.62,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Administrative Assistant 1,High School Diploma,1,Hour,$26.67,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Administrative Assistant 2,High School Diploma,2,Hour,$31.24,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Administrative Assistant 3,High School Diploma,6,Hour,$35.82,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Help Desk 1,High School Diploma,1,Hour,$35.03,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Help Desk 2,High School Diploma,2,Hour,$39.59,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Help Desk 3,High School Diploma,6,Hour,$44.16,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Document Specialist 1,High School Diploma,1,Hour,$25.09,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Document Specialist 2,High School Diploma,2,Hour,$30.64,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Document Specialist 3,High School Diploma,6,Hour,$35.22,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Data Entry Specialist  1,High School Diploma,1,Hour,$23.69,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Data Entry Specialist 2,High School Diploma,2,Hour,$28.26,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Data Entry Specialist  3,High School Diploma,6,Hour,$32.84,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Customer Service Rep 1,High School Diploma,1,Hour,$25.09,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Customer Service Rep 2,High School Diploma,1,Hour,$30.64,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Customer Service Rep 3,High School Diploma,3,Hour,$35.22,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Project Manager 1,Bachelors,2,Hour,$99.07,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Project Manager 2,Bachelors,5,Hour,$104.02,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Project Manager 3,Bachelors,7,Hour,$108.97,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Business Analyst/Consultant 1,Bachelors,1,Hour,$79.26,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Business Analyst/Consultant 2,Bachelors,3,Hour,$84.22,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Business Analyst/Consultant 3,Bachelors,6,Hour,$89.16,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Quality Assurance Analyst 1,Bachelors,1,Hour,$64.62,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Quality Assurance Analyst 2,Bachelors,3,Hour,$70.01,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Quality Assurance Analyst 3,Bachelors,6,Hour,$75.38,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Network Analyst 1,Associates,1,Hour,$54.90,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Network Analyst 2,Associates,3,Hour,$59.47,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Network Analyst 3,Associates,6,Hour,$64.04,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Network Administrator 1,Associates,1,Hour,$64.84,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Network Administrator 2,Associates,3,Hour,$69.41,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Network Administrator 3,Associates,6,Hour,$73.98,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Security Analyst 1,Bachelors,1,Hour,$74.78,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Security Analyst 2,Bachelors,3,Hour,$79.35,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Security Analyst 3,Bachelors,6,Hour,$83.92,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Course Developer 1,Bachelors,1,Hour,$64.62,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Course Developer 2,Bachelors,3,Hour,$70.01,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Course Developer 3,Bachelors,6,Hour,$75.38,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Trainer 1,Bachelors,1,Hour,$59.47,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Trainer 2,Bachelors,3,Hour,$64.04,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Trainer 3,Bachelors,6,Hour,$68.62,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Specical Matter Expert  1,Bachelors,5,Hour,$149.40,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Special Matter Expert    2,Bachelors,8,Hour,$199.35,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Special Matter Expect   3,Bachelors,10,Hour,$249.28,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Software Engineer I,Bachelors,2,Hour,$85.14,GS-35F-033BA,"COSOLUTIONS, INC.",S,IT Schedule 70,Both,2,10/18/13,10/17/18
132-51,Software Engineer II,Bachelors,4,Hour,$100.88,GS-35F-033BA,"COSOLUTIONS, INC.",S,IT Schedule 70,Both,2,10/18/13,10/17/18
132-51,Software Engineer III,Bachelors,6,Hour,$117.81,GS-35F-033BA,"COSOLUTIONS, INC.",S,IT Schedule 70,Both,2,10/18/13,10/17/18
132-51,Project Manager,Bachelors,4,Hour,$108.10,GS-35F-033BA,"COSOLUTIONS, INC.",S,IT Schedule 70,Both,2,10/18/13,10/17/18
132-51,Database Engineer,Bachelors,4,Hour,$115.53,GS-35F-033BA,"COSOLUTIONS, INC.",S,IT Schedule 70,Both,2,10/18/13,10/17/18
132-51,Subject Matter Expert,Bachelors,7,Hour,$146.04,GS-35F-033BA,"COSOLUTIONS, INC.",S,IT Schedule 70,Both,2,10/18/13,10/17/18
132-51,Oracle Database Consultant,Bachelors,5,Hour,$118.39,GS-35F-084CA,P&S Tech Solutions Inc.,S,IT Schedule 70,Both,1,11/25/14,11/24/19
132-51,Oracle ERP Migration Consulting,Bachelors,7,Hour,$85.24,GS-35F-084CA,P&S Tech Solutions Inc.,S,IT Schedule 70,Both,1,11/25/14,11/24/19
132-51,Solaris-Linux System Admin,Bachelors,5,Hour,$82.40,GS-35F-084CA,P&S Tech Solutions Inc.,S,IT Schedule 70,Both,1,11/25/14,11/24/19
132-51,Senior Solaris-Linux System Admin,Bachelors,7,Hour,$85.24,GS-35F-084CA,P&S Tech Solutions Inc.,S,IT Schedule 70,Both,1,11/25/14,11/24/19
132-51,Greenplum Consultant,Bachelors,3,Hour,$132.59,GS-35F-084CA,P&S Tech Solutions Inc.,S,IT Schedule 70,Both,1,11/25/14,11/24/19
132-51,Web Developer,Bachelors,3,Hour,$61.56,GS-35F-084CA,P&S Tech Solutions Inc.,S,IT Schedule 70,Both,1,11/25/14,11/24/19
132-51,Senior Oracle Technical Program Manager,Bachelors,7,Hour,$151.54,GS-35F-084CA,P&S Tech Solutions Inc.,S,IT Schedule 70,Both,1,11/25/14,11/24/19
132-51,DMU/GG Specialist,Bachelors,5,Hour,$165.74,GS-35F-084CA,P&S Tech Solutions Inc.,S,IT Schedule 70,Both,1,11/25/14,11/24/19
132-51,Peoplesoft Consultant,Bachelors,7,Hour,$165.74,GS-35F-084CA,P&S Tech Solutions Inc.,S,IT Schedule 70,Both,1,11/25/14,11/24/19
132-51,Lead Developer,Bachelors,5,Hour,$20.84,GS-35F-084CA,P&S Tech Solutions Inc.,S,IT Schedule 70,Both,1,11/25/14,11/24/19
132-51,Mid-Senior PL/SQL Developer,Bachelors,5,Hour,$20.84,GS-35F-084CA,P&S Tech Solutions Inc.,S,IT Schedule 70,Both,1,11/25/14,11/24/19
132-51,Senior Cognos Developer,Bachelors,5,Hour,$75.77,GS-35F-084CA,P&S Tech Solutions Inc.,S,IT Schedule 70,Both,1,11/25/14,11/24/19
132-51,Senior PL/SQL Developer,Bachelors,7,Hour,$68.66,GS-35F-084CA,P&S Tech Solutions Inc.,S,IT Schedule 70,Both,1,11/25/14,11/24/19
132-51,OBIEE/Business Intelligence Consultant,Bachelors,5,Hour,$113.65,GS-35F-084CA,P&S Tech Solutions Inc.,S,IT Schedule 70,Both,1,11/25/14,11/24/19
132-51,NET/VB Web Developer,Bachelors,3,Hour,$104.18,GS-35F-084CA,P&S Tech Solutions Inc.,S,IT Schedule 70,Both,1,11/25/14,11/24/19
132-51,BMC Lifecycle Management,Bachelors,5,Hour,$208.36,GS-35F-084CA,P&S Tech Solutions Inc.,S,IT Schedule 70,Both,1,11/25/14,11/24/19
132-51,Project Manager ,Bachelors,10,Hour,$154.16,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Customer,2,4/16/14,4/15/19
132-51,Subject Matter Expert ,Bachelors,8,Hour,$138.22,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Customer,2,4/16/14,4/15/19
132-51,Subject Matter Expert I (senior) ,Bachelors,10,Hour,$157.01,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Customer,2,4/16/14,4/15/19
132-51,Subject Matter Expert II (Principal),Bachelors,12,Hour,$180.80,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Customer,2,4/16/14,4/15/19
132-51,Systems Engineer ,Bachelors,6,Hour,$93.26,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Customer,2,4/16/14,4/15/19
132-51,Senior Systems Engineer ,Masters,8,Hour,$104.67,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Customer,2,4/16/14,4/15/19
132-51,Principal Systems Engineer ,Bachelors,10,Hour,$123.70,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Customer,2,4/16/14,4/15/19
132-51,Systems Architect ,Bachelors,12,Hour,$129.77,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Customer,2,4/16/14,4/15/19
132-51,Functional Analyst ,Bachelors,5,Hour,$77.11,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Customer,2,4/16/14,4/15/19
132-51,Senior Functional Analyst ,Bachelors,8,Hour,$90.40,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Customer,2,4/16/14,4/15/19
132-51,Applications Engineer ,Bachelors,5,Hour,$80.88,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Customer,2,4/16/14,4/15/19
132-51,Senior Applications Engineer ,Bachelors,7,Hour,$95.16,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Customer,2,4/16/14,4/15/19
132-51,Quality Assurance Analyst ,Bachelors,0,Hour,$63.75,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Customer,2,4/16/14,4/15/19
132-51,Systems Analyst ,High School Diploma,3,Hour,$71.37,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Customer,2,4/16/14,4/15/19
132-51,Senior Systems Analyst ,Bachelors,6,Hour,$85.64,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Customer,2,4/16/14,4/15/19
132-51,Database Management Specialist ,Bachelors,6,Hour,$89.92,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Customer,2,4/16/14,4/15/19
132-51,Senior Database Management Specialist,Bachelors,8,Hour,$105.62,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Customer,2,4/16/14,4/15/19
132-51,IT Senior  Consultant ,Bachelors,13,Hour,$211.13,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Customer,2,4/16/14,4/15/19
132-51,Project Manager ,Bachelors,10,Hour,$177.28,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Contractor,2,4/16/14,4/15/19
132-51,Subject Matter Expert ,Bachelors,8,Hour,$158.95,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Contractor,2,4/16/14,4/15/19
132-51,Subject Matter Expert I (Senior) ,Bachelors,10,Hour,$180.56,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Contractor,2,4/16/14,4/15/19
132-51,Subject Matter Expert II (Principal),Bachelors,12,Hour,$207.92,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Contractor,2,4/16/14,4/15/19
132-51,Systems Engineer,Bachelors,6,Hour,$107.24,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Contractor,2,4/16/14,4/15/19
132-51,Senior Systems Engineer ,Masters,8,Hour,$120.37,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Contractor,2,4/16/14,4/15/19
132-51,Principal Systems Engineer ,Bachelors,10,Hour,$142.26,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Contractor,2,4/16/14,4/15/19
132-51,Systems Architect ,Bachelors,12,Hour,$149.24,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Contractor,2,4/16/14,4/15/19
132-51,Functional Analyst ,Bachelors,5,Hour,$88.68,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Contractor,2,4/16/14,4/15/19
132-51,Senior Functional Analyst ,Bachelors,8,Hour,$103.96,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Contractor,2,4/16/14,4/15/19
132-51,Applications Engineer ,Bachelors,5,Hour,$93.02,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Contractor,2,4/16/14,4/15/19
132-51,Senior Applications Engineer ,Bachelors,7,Hour,$109.43,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Contractor,2,4/16/14,4/15/19
132-51,Quality Assurance Analyst ,Bachelors,0,Hour,$73.32,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Contractor,2,4/16/14,4/15/19
132-51,Systems Analyst ,High School Diploma,3,Hour,$82.07,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Contractor,2,4/16/14,4/15/19
132-51,Senior  Systems Analyst,Bachelors,6,Hour,$98.49,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Contractor,2,4/16/14,4/15/19
132-51,Database Management Specialist,Bachelors,6,Hour,$103.41,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Contractor,2,4/16/14,4/15/19
132-51,Senior Database Management Specialist ,Bachelors,8,Hour,$121.47,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Contractor,2,4/16/14,4/15/19
132-51,IT Senior Consultant ,Bachelors,13,Hour,$242.80,GS-35F-328BA,Halvik Corp,S,IT Schedule 70,Contractor,2,4/16/14,4/15/19
132-51,Subject Matter Expert Level V,Masters,8,Hour,$171.03,GS-35F-220CA,"Cyber Cloud Technologies, LLC",S,IT Schedule 70,Both,1,3/9/15,3/8/20
132-51,Subject Matter Expert,Bachelors,8,Hour,$116.30,GS-35F-220CA,"Cyber Cloud Technologies, LLC",S,IT Schedule 70,Both,1,3/9/15,3/8/20
132-51,Principal Systems Engineer,Bachelors,6,Hour,$119.47,GS-35F-220CA,"Cyber Cloud Technologies, LLC",S,IT Schedule 70,Both,1,3/9/15,3/8/20
132-51,Research Engineer,Bachelors,6,Hour,$140.53,GS-35F-220CA,"Cyber Cloud Technologies, LLC",S,IT Schedule 70,Both,1,3/9/15,3/8/20
132-51,Systems Architect IV,Bachelors,4,Hour,$137.36,GS-35F-220CA,"Cyber Cloud Technologies, LLC",S,IT Schedule 70,Both,1,3/9/15,3/8/20
132-51,Scientist/Engineer,Bachelors,10,Hour,$120.82,GS-35F-220CA,"Cyber Cloud Technologies, LLC",S,IT Schedule 70,Both,1,3/9/15,3/8/20
132-51,Systems Administrator IV,Bachelors,8,Hour,$114.49,GS-35F-220CA,"Cyber Cloud Technologies, LLC",S,IT Schedule 70,Both,1,3/9/15,3/8/20
132-51,Systems Administrator III,Associates,6,Hour,$110.83,GS-35F-220CA,"Cyber Cloud Technologies, LLC",S,IT Schedule 70,Both,1,3/9/15,3/8/20
132-51,Technical Subject Matter Specialist II,Associates,5,Hour,$64.77,GS-35F-220CA,"Cyber Cloud Technologies, LLC",S,IT Schedule 70,Both,1,3/9/15,3/8/20
132-51,Information Center Specialist II,Associates,5,Hour,$64.77,GS-35F-220CA,"Cyber Cloud Technologies, LLC",S,IT Schedule 70,Both,1,3/9/15,3/8/20
132-51,Technical Writer II,Bachelors,5,Hour,$72.76,GS-35F-220CA,"Cyber Cloud Technologies, LLC",S,IT Schedule 70,Both,1,3/9/15,3/8/20
132-51,Data Base Administrator III,Bachelors,5,Hour,$112.08,GS-35F-220CA,"Cyber Cloud Technologies, LLC",S,IT Schedule 70,Both,1,3/9/15,3/8/20
132-51,Data Migration Architect,Bachelors,5,Hour,$171.28,GS-35F-230CA,Dynamo Technologies LLC,S,IT Schedule 70,Both,1,3/12/15,3/11/20
132-51,Data Migration Developer,Bachelors,2,Hour,$107.05,GS-35F-230CA,Dynamo Technologies LLC,S,IT Schedule 70,Both,1,3/12/15,3/11/20
132-51,IT Team Lead/Senior Systems Engineer,Bachelors,5,Hour,$171.28,GS-35F-230CA,Dynamo Technologies LLC,S,IT Schedule 70,Both,1,3/12/15,3/11/20
132-51,IT Functional Consultant II/Senior Software Developer,Bachelors,5,Hour,$149.87,GS-35F-230CA,Dynamo Technologies LLC,S,IT Schedule 70,Both,1,3/12/15,3/11/20
132-51,IT Team Member II,Bachelors,2,Hour,$149.87,GS-35F-230CA,Dynamo Technologies LLC,S,IT Schedule 70,Both,1,3/12/15,3/11/20
132-51,Management Consultant,Bachelors,5,Hour,$128.46,GS-35F-230CA,Dynamo Technologies LLC,S,IT Schedule 70,Both,1,3/12/15,3/11/20
132-51,Sr. Program Management Specialist,Bachelors,7,Hour,$149.87,GS-35F-230CA,Dynamo Technologies LLC,S,IT Schedule 70,Both,1,3/12/15,3/11/20
132-51,GIS Technical Specialist/Engineer (S1),Bachelors,1,Hour,$170.55,GS-35F-253CA,Environmental Systems Research Institutue Inc,O,IT Schedule 70,Both,1,3/19/15,3/18/20
132-51,GIS System/Software Developer (S2),Bachelors,3,Hour,$224.38,GS-35F-253CA,Environmental Systems Research Institutue Inc,O,IT Schedule 70,Both,1,3/19/15,3/18/20
132-51,Sr. GIS System/Software Architect (S3),Bachelors,5,Hour,$313.82,GS-35F-253CA,Environmental Systems Research Institutue Inc,O,IT Schedule 70,Both,1,3/19/15,3/18/20
132-51,GIS Consultant/Project Manager (M1),Bachelors,1,Hour,$218.87,GS-35F-253CA,Environmental Systems Research Institutue Inc,O,IT Schedule 70,Both,1,3/19/15,3/18/20
132-51,Senior GIS Consultant/Project Manager (M2),Bachelors,5,Hour,$299.98,GS-35F-253CA,Environmental Systems Research Institutue Inc,O,IT Schedule 70,Both,1,3/19/15,3/18/20
132-51,Principal/GIS Consultant/Prog. Manager (M3),Bachelors,10,Hour,$402.93,GS-35F-253CA,Environmental Systems Research Institutue Inc,O,IT Schedule 70,Both,1,3/19/15,3/18/20
132-51,GIS Database Specialist/Analyst (DB),Bachelors,0,Hour,$140.92,GS-35F-253CA,Environmental Systems Research Institutue Inc,O,IT Schedule 70,Both,1,3/19/15,3/18/20
132-51,GIS Technical Specialist/Engineer (S1),Bachelors,1,Hour,$149.24,GS-35F-253CA,Environmental Systems Research Institutue Inc,O,IT Schedule 70,Both,1,3/19/15,3/18/20
132-51,GIS System/Software Developer (S2),Bachelors,3,Hour,$196.33,GS-35F-253CA,Environmental Systems Research Institutue Inc,O,IT Schedule 70,Both,1,3/19/15,3/18/20
132-51,Sr. GIS System/Software Architect (S3),Bachelors,5,Hour,$274.58,GS-35F-253CA,Environmental Systems Research Institutue Inc,O,IT Schedule 70,Both,1,3/19/15,3/18/20
132-51,GIS Consultant/Project Manager (M1),Bachelors,1,Hour,$191.51,GS-35F-253CA,Environmental Systems Research Institutue Inc,O,IT Schedule 70,Both,1,3/19/15,3/18/20
132-51,Senior GIS Consultant/Project Manager (M2),Bachelors,5,Hour,$262.48,GS-35F-253CA,Environmental Systems Research Institutue Inc,O,IT Schedule 70,Both,1,3/19/15,3/18/20
132-51,Principal/GIS Consultant/Prog. Manager (M3),Bachelors,10,Hour,$352.55,GS-35F-253CA,Environmental Systems Research Institutue Inc,O,IT Schedule 70,Both,1,3/19/15,3/18/20
